technique_id,name,is_subtechnique,platforms,detection_strategies,analytic_count,analytic_platforms,log_sources,data_components
T1001,Data Obfuscation,No,ESXi; Linux; Windows; macOS,DET0053,3,Linux; Windows; macOS,NSM:Flow | auditd:SYSCALL | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Process Creation
T1001.001,Junk Data,Yes,ESXi; Linux; Windows; macOS,DET0011,4,ESXi; Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | macos:osquery | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Process Access | Process Creation
T1001.002,Steganography,Yes,ESXi; Linux; Windows; macOS,DET0235,4,ESXi; Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxi:vmkernel | macos:osquery | macos:unifiedlog,File Creation | File Metadata | Network Connection Creation | Network Traffic Content | Process Creation
T1001.003,Protocol or Service Impersonation,Yes,ESXi; Linux; Windows; macOS,DET0470,4,ESXi; Linux; Windows; macOS,NSM:Content | NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | macos:osquery | macos:unifiedlog,Network Connection Creation | Network Traffic Content | Process Creation | Process Metadata
T1003,OS Credential Dumping,No,Linux; Windows; macOS,DET0234,3,Linux; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | macos:keychain | macos:osquery | macos:unifiedlog,Active Directory Object Access | File Access | Process Access | Process Creation | Process Metadata
T1003.001,LSASS Memory,Yes,Windows,DET0363,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,File Creation | Process Access | Process Creation | User Account Metadata | Windows Registry Key Modification
T1003.002,Security Account Manager,Yes,Windows,DET0085,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,File Creation | File Modification | Process Creation | Windows Registry Key Modification
T1003.003,NTDS,Yes,Windows,DET0586,1,Windows,WinEventLog:Microsoft-Windows-VSS | WinEventLog:Security | WinEventLog:Sysmon,File Creation | File Modification | Process Creation | Volume Creation
T1003.004,LSA Secrets,Yes,Windows,DET0437,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,File Modification | Module Load | Process Access | Process Creation
T1003.005,Cached Domain Credentials,Yes,Linux; Windows,DET0513,2,Linux; Windows,WinEventLog:Security | WinEventLog:Sysmon | auditd:EXECVE | auditd:SYSCALL | linux:osquery,File Access | Process Access | Process Creation
T1003.006,DCSync,Yes,Windows,DET0594,1,Windows,NSM:Content | WinEventLog:Security,Active Directory Object Access | Active Directory Object Deletion | Network Traffic Content
T1003.007,Proc Filesystem,Yes,Linux,DET0593,1,Linux,auditd:SYSCALL | linux:Sysmon,File Access | File Modification | Process Access | Process Creation
T1003.008,/etc/passwd and /etc/shadow,Yes,Linux,DET0446,1,Linux,auditd:SYSCALL,File Access | Process Creation
T1005,Data from Local System,No,ESXi; Linux; Network Devices; Windows; macOS,DET0380,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:hostd | esxis:vmkernel | fs:fsusage | macos:unifiedlog | networkdevice:cli,Command Execution | File Access | File Creation | Process Creation
T1006,Direct Volume Access,No,Network Devices; Windows,DET0426,2,Network Devices; Windows,WinEventLog:Security | WinEventLog:Sysmon | networkdevice:cli,Command Execution | Process Access | Process Creation
T1007,System Service Discovery,No,Linux; Windows; macOS,DET0483,3,Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Security | auditd:EXECVE | macos:osquery | macos:unifiedlog,Command Execution | Process Creation
T1008,Fallback Channels,No,ESXi; Linux; Windows; macOS,DET0499,4,ESXi; Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | auditd:SYSCALL | esxi:vmkernel | esxi:vpxd | macos:unifiedlog,Network Connection Creation | Network Traffic Flow
T1010,Application Window Discovery,No,Linux; Windows; macOS,DET0097,3,Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:EXECVE | linus:syslog | macos:osquery | macos:unifiedlog,Command Execution | OS API Execution | Process Access | Process Creation
T1011,Exfiltration Over Other Network Medium,No,Linux; Windows; macOS,DET0077,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | macos:osquery | macos:unifiedlog,Command Execution | File Creation | Host Status | Network Connection Creation | Network Traffic Content | Network Traffic Flow | Process Creation
T1011.001,Exfiltration Over Bluetooth,Yes,Linux; Windows; macOS,DET0554,3,Linux; Windows; macOS,WinEventLog:Sysmon | WinEventLog:System | auditd:SYSCALL | linux:osquery | linux:syslog | macos:osquery | macos:unifiedlog,Command Execution | File Access | File Creation | Network Connection Creation | Process Creation
T1012,Query Registry,No,Windows,DET0209,1,Windows,WinEventLog:PowerShell | WinEventLog:Sysmon,Command Execution | Process Creation | Windows Registry Key Modification
T1014,Rootkit,No,Linux; Windows; macOS,DET0377,3,Linux; Windows; macOS,WinEventLog:Sysmon | WinEventLog:System | auditd:EXECVE | fs:fsevents | linux:osquery | linux:syslog | macos:osquery | macos:unifiedlog,Driver Load | File Creation | File Modification | Module Load | Process Creation | Service Creation
T1016,System Network Configuration Discovery,No,ESXi; Linux; Network Devices; Windows; macOS,DET0195,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:EXECVE | esxi:hostd | macos:unifiedlog | networkdevice:cli,Command Execution | Process Creation
T1016.001,Internet Connection Discovery,Yes,ESXi; Linux; Windows; macOS,DET0357,4,ESXi; Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Security | WinEventLog:Sysmon | auditd:EXECVE | esxi:hostd | esxi:shell | linux:syslog | macos:unifiedlog,Command Execution | Network Connection Creation | Process Creation | Script Execution
T1016.002,Wi-Fi Discovery,Yes,Linux; Windows; macOS,DET0464,3,Linux; Windows; macOS,WinEventLog:PowerShell | WinEventLog:Sysmon | auditd:EXECVE | auditd:PATH | macos:unifiedlog,Command Execution | File Access | Process Creation
T1018,Remote System Discovery,No,ESXi; Linux; Network Devices; Windows; macOS,DET0574,5,ESXi; Linux; Network Devices; Windows; macOS,WinEventLog:Sysmon | auditd:EXECVE | esxi:hostd | linux:syslog | macos:osquery | macos:unifiedlog | networkdevice:syslog,Command Execution | File Access | Network Connection Creation | Process Creation
T1020,Automated Exfiltration,No,Linux; Network Devices; Windows; macOS,DET0397,3,Linux; Windows; macOS,NSM:Flow | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | macos:cron | macos:unifiedlog,Network Connection Creation | Process Creation | Scheduled Job Creation
T1020.001,Traffic Duplication,Yes,IaaS; Network Devices,DET0403,2,IaaS; Network Devices,AWS:CloudTrail | AWS:VPCFlowLogs | networkdevice:Flow | networkdevice:syslog,Network Connection Creation | Network Traffic Flow
T1021,Remote Services,No,ESXi; IaaS; Linux; Windows; macOS,DET0269,5,ESXi; IaaS; Linux; Windows; macOS,AWS:CloudTrail | AWS:VPCFlowLogs | WinEventLog:Security | WinEventLog:Sysmon | auditd:SYSCALL | esxi:shell | esxi:vmkernel | linux:syslog | macos:osquery | macos:unifiedlog,Command Execution | Logon Session Creation | Network Connection Creation | Process Creation
T1021.001,Remote Desktop Protocol,Yes,Windows,DET0327,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,Logon Session Creation | Logon Session Metadata | Network Connection Creation | Process Creation
T1021.002,SMB/Windows Admin Shares,Yes,Windows,DET0530,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,Logon Session Creation | Network Connection Creation | Process Creation
T1021.003,Distributed Component Object Model,Yes,Windows,DET0285,1,Windows,WinEventLog:Security | WinEventLog:Sysmon,Logon Session Creation | Module Load | Network Connection Creation | Process Creation
T1021.004,SSH,Yes,ESXi; Linux; macOS,DET0596,3,ESXi; Linux; macOS,NSM:Flow | auditd:EXECVE | esxi:auth | esxi:shell | esxi:vmkernel | linux:syslog | macos:osquery | macos:unifiedlog,Command Execution | Logon Session Creation | Logon Session Metadata | Network Traffic Content | Network Traffic Flow | Process Creation
