log_source,analytic_references,platforms
WinEventLog:Sysmon,869,IaaS; Linux; Office Suite; Windows; macOS
macos:unifiedlog,539,macOS
auditd:SYSCALL,477,Containers; Linux; macOS
WinEventLog:Security,337,Identity Provider; Office Suite; Windows
NSM:Flow,247,Containers; ESXi; Linux; Network Devices; Windows; macOS
AWS:CloudTrail,141,Containers; IaaS; Identity Provider; SaaS; Windows
macos:osquery,104,macOS
m365:unified,87,Identity Provider; Office Suite; SaaS; Windows
linux:syslog,81,Linux; Network Devices
WinEventLog:PowerShell,66,Office Suite; Windows
esxi:hostd,56,ESXi; IaaS
networkdevice:syslog,52,Linux; Network Devices
esxi:vmkernel,48,ESXi
linux:osquery,47,Linux
auditd:EXECVE,45,Linux
macos:endpointsecurity,40,macOS
WinEventLog:System,38,Windows
esxi:shell,36,ESXi
azure:signinlogs,35,Identity Provider; Office Suite; SaaS; Windows
Internet Scan,33,PRE
fs:fsusage,32,macOS
NSM:Connections,25,Identity Provider; Linux; Network Devices; Windows; macOS
WinEventLog:Application,23,Office Suite; Windows
Network Traffic,22,PRE; Windows
networkdevice:cli,21,Network Devices
saas:okta,17,Identity Provider; SaaS
auditd:PATH,16,Linux
AWS:VPCFlowLogs,16,IaaS
networkdevice:config,14,Network Devices
Domain Name,14,PRE
etw:Microsoft-Windows-Kernel-Process,13,Windows
azure:audit,13,Identity Provider; Office Suite
m365:exchange,12,Office Suite; Windows
auditd:FILE,11,Linux
linux:Sysmon,11,Linux
NSM:Firewall,11,ESXi; Network Devices; Windows; macOS
kubernetes:audit,11,Containers; Linux
Malware Repository,11,PRE
gcp:audit,11,IaaS; Office Suite; SaaS
kubernetes:apiserver,10,Containers
ebpf:syscalls,9,Containers; IaaS; Linux
AWS:CloudWatch,9,IaaS
docker:events,9,Containers
esxi:syslog,9,ESXi
esxi:vpxd,9,ESXi
azure:activity,9,IaaS; Identity Provider; Windows
m365:signinlogs,9,Office Suite; SaaS
docker:daemon,8,Containers
fs:fsevents,7,macOS
WinEventLog:Microsoft-Windows-CodeIntegrity/Operational,7,Windows
saas:googleworkspace,7,SaaS
fs:fileevents,7,Linux; macOS
WinEventLog:WMI,6,Windows
Application Log,6,PRE
Application:Mail,6,Linux
esxi:auth,6,ESXi
saas:slack,6,SaaS
auditd:CONFIG_CHANGE,6,Linux
